variable,grupo,shap_abs_medio_test,shap_medio_test,proporcion_test,rango_test,shap_abs_medio_val,shap_medio_val,proporcion_val,rango_val,shap_abs_medio_train,proporcion_train,rango_train,ganancia_media_3s,proporcion_ganancia,rango_ganancia,ganancia_s1,splits_s1,rango_splits_s1,dif_rango_ganancia_menos_shap_test
capdisp_ccgt_mw,Capacidades (disponible e instalada),0.357417,0.209067,0.002978,47,0.561302,0.436146,0.005418,26,0.384725,0.003571,35,4812300.02062,0.001271,29,4608761.019775,628,17,-18
pdbc_hydro_no_ugh_mw_D,Programas PDBC/PBF de D,0.353025,-0.200471,0.002941,48,0.371834,0.011823,0.003589,47,0.333505,0.003096,44,2236928.472188,0.000591,60,2079299.17334,551,27,12
capinst_total_autoconsume_mw,Capacidades (disponible e instalada),0.350015,-0.288592,0.002916,49,0.35784,-0.26054,0.003454,49,0.450822,0.004185,27,5847669.157817,0.001545,23,6123100.058105,262,79,-26
t2m_meteo,Meteorología prevista,0.342285,0.004925,0.002852,50,0.321256,-0.02042,0.003101,54,0.426042,0.003955,30,3854360.912089,0.001018,30,3723576.753662,398,59,-20
msl_meteo,Meteorología prevista,0.342149,0.081031,0.002851,51,0.317902,0.091828,0.003068,55,0.355137,0.003297,39,3565963.256165,0.000942,36,3667536.002258,736,11,-15
waste_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.328642,-0.309723,0.002738,52,0.360546,-0.35678,0.00348,48,0.230896,0.002143,59,2259415.542094,0.000597,59,2568055.762146,439,50,7
d1_dow_cos,Calendario y hora,0.324655,-0.019355,0.002705,53,0.29615,-0.009704,0.002858,56,0.266795,0.002477,52,3132711.11617,0.000827,41,2908163.28833,157,97,-12
ree_gnuclear_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.310307,-0.01717,0.002585,54,0.421614,-0.199162,0.00407,36,0.279989,0.002599,49,3568840.540141,0.000943,35,3023015.345642,487,42,-19
wind_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.306426,-0.039112,0.002553,55,0.266282,-0.012511,0.00257,59,0.247644,0.002299,56,2322512.568502,0.000613,56,2541980.341064,506,39,1
ree_gotherthermal_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.305095,0.087532,0.002542,56,0.284394,-0.009523,0.002745,57,0.286016,0.002655,48,4996078.32725,0.00132,27,4671711.088867,473,44,-29
