corte,bloque,grupo,metrica,valor
test,dia_semana_D+1,miércoles,cambio_medio,18.1468
test,dia_semana_D+1,jueves,n_dias,31.0000
test,dia_semana_D+1,jueves,MAE_ensemble,11.0933
test,dia_semana_D+1,jueves,MAE_persistencia,14.3162
test,dia_semana_D+1,jueves,mejora_vs_persistencia_%,-22.5122
test,dia_semana_D+1,jueves,cambio_medio,14.3162
test,dia_semana_D+1,viernes,n_dias,31.0000
test,dia_semana_D+1,viernes,MAE_ensemble,10.7419
test,dia_semana_D+1,viernes,MAE_persistencia,15.0498
test,dia_semana_D+1,viernes,mejora_vs_persistencia_%,-28.6242
test,dia_semana_D+1,viernes,cambio_medio,15.0498
test,dia_semana_D+1,sábado,n_dias,30.0000
test,dia_semana_D+1,sábado,MAE_ensemble,10.7677
test,dia_semana_D+1,sábado,MAE_persistencia,17.3132
test,dia_semana_D+1,sábado,mejora_vs_persistencia_%,-37.8066
test,dia_semana_D+1,sábado,cambio_medio,17.3132
test,dia_semana_D+1,domingo,n_dias,30.0000
test,dia_semana_D+1,domingo,MAE_ensemble,9.4093
test,dia_semana_D+1,domingo,MAE_persistencia,12.0628
test,dia_semana_D+1,domingo,mejora_vs_persistencia_%,-21.9977
test,dia_semana_D+1,domingo,cambio_medio,12.0628
test,spread_pico,todos,n_dias,212.0000
test,spread_pico,todos,captura_ensemble_%,92.5714
test,spread_pico,todos,captura_persistencia_%,86.1441
test,spread_pico,todos,pico1h_ensemble_%,76.4151
test,spread_pico,todos,pico1h_persistencia_%,67.4528
test,spread_pico,todos,MAE_ensemble,11.7237
test,spread_pico,todos,MAE_persistencia,16.7213
test,spread_pico,todos,dias_ensemble_peor_%,30.6604
test,spread_pico,Q4_cambio,n_dias,53.0000
test,spread_pico,Q4_cambio,captura_ensemble_%,89.4630
test,spread_pico,Q4_cambio,captura_persistencia_%,81.8592
test,spread_pico,Q4_cambio,pico1h_ensemble_%,75.4717
test,spread_pico,Q4_cambio,pico1h_persistencia_%,62.2642
test,spread_pico,Q4_cambio,MAE_ensemble,16.3107
test,spread_pico,Q4_cambio,MAE_persistencia,30.0886
test,spread_pico,Q4_cambio,dias_ensemble_peor_%,5.6604
test,spread_pico,top10_cambio,n_dias,22.0000
