variable,nulos_antes,cero_convencion,cero_sin_serie,cero_no_existia,ffill,interpolado,analogo_7d,hora_saltada_lag,sin_reconstruir,cero_hora_inexistente,via_principal,celdas,bloque
pdbc_nuclear_mw_D,8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,analogo_7d,8.0,programas de casación
bil_retail_free_buy_mw_D,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cero_convencion,8.0,programas de casación
bil_retail_last_resort_mw_D,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,cero_convencion,8.0,programas de casación
ree_gcoal_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
pdbc_coal_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
ree_gsolter_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_gotherthermal_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
ree_gnuclear_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
ree_gnuclear_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_gotherthermal_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_gccgas_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
gen_peninsular_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,demanda e intercambios: agregado
ree_gccgas_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
ree_gsolter_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
es_esios_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,precio: referencia de persistencia
ree_netflow_fr_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
entsoe_load_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
