fecha_hora,hora,p10,p50,p90,origen
2027-01-03 18:00:00,18,20.68,129.87,224.94,fundamental
2027-01-03 19:00:00,19,28.78,132.48,220.21,fundamental
2027-01-03 20:00:00,20,44.99,135.88,217.19,fundamental
2027-01-03 21:00:00,21,36.17,136.91,231.74,fundamental
2027-01-03 22:00:00,22,33.55,123.47,222.89,fundamental
2027-01-03 23:00:00,23,23.90,114.33,199.36,fundamental
2027-01-04 00:00:00,0,16.37,92.67,167.35,fundamental
2027-01-04 01:00:00,1,14.77,83.14,142.40,fundamental
2027-01-04 02:00:00,2,11.40,77.27,132.65,fundamental
2027-01-04 03:00:00,3,13.72,78.35,130.42,fundamental
2027-01-04 04:00:00,4,12.17,79.74,146.31,fundamental
2027-01-04 05:00:00,5,21.17,87.74,161.72,fundamental
2027-01-04 06:00:00,6,27.82,109.16,194.44,fundamental
2027-01-04 07:00:00,7,37.16,136.48,249.31,fundamental
2027-01-04 08:00:00,8,33.74,143.06,270.07,fundamental
2027-01-04 09:00:00,9,40.44,136.28,238.61,fundamental
2027-01-04 10:00:00,10,23.28,116.11,194.50,fundamental
2027-01-04 11:00:00,11,24.50,84.77,164.35,fundamental
2027-01-04 12:00:00,12,11.23,65.77,137.35,fundamental
2027-01-04 13:00:00,13,9.37,59.65,121.68,fundamental
2027-01-04 14:00:00,14,13.27,63.54,127.22,fundamental
2027-01-04 15:00:00,15,21.49,76.87,154.68,fundamental
2027-01-04 16:00:00,16,24.97,99.66,195.68,fundamental
2027-01-04 17:00:00,17,23.22,120.55,218.84,fundamental
2027-01-04 18:00:00,18,35.59,125.85,217.17,fundamental
2027-01-04 19:00:00,19,31.62,130.15,220.56,fundamental
2027-01-04 20:00:00,20,25.15,137.36,244.13,fundamental
2027-01-04 21:00:00,21,22.85,135.83,257.39,fundamental
2027-01-04 22:00:00,22,19.32,127.42,221.30,fundamental
2027-01-04 23:00:00,23,19.82,110.64,187.36,fundamental
2027-01-05 00:00:00,0,12.32,88.51,157.74,fundamental
2027-01-05 01:00:00,1,9.36,68.83,135.83,fundamental
2027-01-05 02:00:00,2,7.96,63.60,123.86,fundamental
2027-01-05 03:00:00,3,8.36,60.77,127.20,fundamental
2027-01-05 04:00:00,4,6.59,58.77,126.67,fundamental
2027-01-05 05:00:00,5,9.61,60.65,138.91,fundamental
2027-01-05 06:00:00,6,9.12,79.02,170.28,fundamental
2027-01-05 07:00:00,7,33.80,98.68,202.46,fundamental
2027-01-05 08:00:00,8,16.30,109.14,210.22,fundamental
2027-01-05 09:00:00,9,16.30,104.78,192.91,fundamental
2027-01-05 10:00:00,10,13.52,73.41,186.09,fundamental
2027-01-05 11:00:00,11,4.70,50.06,150.38,fundamental
2027-01-05 12:00:00,12,0.00,31.53,100.09,fundamental
2027-01-05 13:00:00,13,0.00,25.28,91.96,fundamental
2027-01-05 14:00:00,14,2.16,30.23,113.73,fundamental
2027-01-05 15:00:00,15,0.00,37.15,139.55,fundamental
2027-01-05 16:00:00,16,6.36,58.25,161.33,fundamental
2027-01-05 17:00:00,17,10.60,80.92,192.31,fundamental
2027-01-05 18:00:00,18,20.69,101.98,224.77,fundamental
2027-01-05 19:00:00,19,21.90,107.49,228.10,fundamental
2027-01-05 20:00:00,20,20.31,119.40,228.93,fundamental
2027-01-05 21:00:00,21,16.43,115.45,209.50,fundamental
2027-01-05 22:00:00,22,12.67,95.39,194.90,fundamental
2027-01-05 23:00:00,23,7.32,73.23,178.25,fundamental
2027-01-06 00:00:00,0,6.44,62.61,169.71,fundamental
2027-01-06 01:00:00,1,0.00,51.50,140.67,fundamental
2027-01-06 02:00:00,2,-0.00,48.65,136.77,fundamental
2027-01-06 03:00:00,3,0.00,47.97,145.30,fundamental
2027-01-06 04:00:00,4,-0.01,39.99,151.51,fundamental
2027-01-06 05:00:00,5,0.00,41.89,153.03,fundamental
2027-01-06 06:00:00,6,9.08,54.17,174.93,fundamental
2027-01-06 07:00:00,7,14.68,80.50,219.37,fundamental
2027-01-06 08:00:00,8,19.73,100.61,221.72,fundamental
2027-01-06 09:00:00,9,22.54,95.46,202.21,fundamental
2027-01-06 10:00:00,10,13.44,69.06,169.40,fundamental
2027-01-06 11:00:00,11,2.73,50.27,125.17,fundamental
2027-01-06 12:00:00,12,-0.00,33.75,96.16,fundamental
2027-01-06 13:00:00,13,0.00,33.84,97.31,fundamental
2027-01-06 14:00:00,14,0.00,37.20,103.50,fundamental
2027-01-06 15:00:00,15,6.92,50.72,134.28,fundamental
2027-01-06 16:00:00,16,11.15,70.42,166.91,fundamental
2027-01-06 17:00:00,17,14.44,100.03,220.09,fundamental
2027-01-06 18:00:00,18,21.79,126.36,284.39,fundamental
2027-01-06 19:00:00,19,29.34,138.67,266.68,fundamental
2027-01-06 20:00:00,20,30.29,138.12,248.67,fundamental
2027-01-06 21:00:00,21,30.33,134.51,229.56,fundamental
2027-01-06 22:00:00,22,27.00,113.95,218.74,fundamental
2027-01-06 23:00:00,23,17.97,99.39,205.08,fundamental
2027-01-07 00:00:00,0,11.97,88.47,165.00,fundamental
2027-01-07 01:00:00,1,10.50,75.76,138.05,fundamental
2027-01-07 02:00:00,2,9.63,72.18,125.54,fundamental
2027-01-07 03:00:00,3,9.91,67.24,125.55,fundamental
2027-01-07 04:00:00,4,14.06,66.95,125.98,fundamental
2027-01-07 05:00:00,5,19.59,74.28,145.25,fundamental
2027-01-07 06:00:00,6,32.58,99.22,177.06,fundamental
2027-01-07 07:00:00,7,42.76,127.03,232.55,fundamental
2027-01-07 08:00:00,8,37.67,132.52,247.37,fundamental
2027-01-07 09:00:00,9,25.03,129.36,216.71,fundamental
2027-01-07 10:00:00,10,16.64,102.99,191.84,fundamental
2027-01-07 11:00:00,11,13.96,69.54,141.00,fundamental
2027-01-07 12:00:00,12,8.04,52.30,112.11,fundamental
2027-01-07 13:00:00,13,4.97,43.90,103.26,fundamental
2027-01-07 14:00:00,14,6.57,50.92,110.59,fundamental
2027-01-07 15:00:00,15,12.95,59.04,123.09,fundamental
2027-01-07 16:00:00,16,14.50,82.69,156.14,fundamental
2027-01-07 17:00:00,17,21.91,110.89,209.39,fundamental
2027-01-07 18:00:00,18,27.58,135.94,235.42,fundamental
2027-01-07 19:00:00,19,28.34,137.27,247.18,fundamental
2027-01-07 20:00:00,20,30.73,134.69,256.59,fundamental
2027-01-07 21:00:00,21,34.78,127.44,234.45,fundamental
2027-01-07 22:00:00,22,25.45,114.47,210.39,fundamental
2027-01-07 23:00:00,23,14.49,92.84,174.08,fundamental
2027-01-08 00:00:00,0,21.44,80.44,147.51,fundamental
2027-01-08 01:00:00,1,7.39,67.35,118.33,fundamental
2027-01-08 02:00:00,2,8.88,63.68,113.29,fundamental
2027-01-08 03:00:00,3,13.60,60.72,113.39,fundamental
2027-01-08 04:00:00,4,15.63,59.32,100.88,fundamental
2027-01-08 05:00:00,5,6.25,60.31,106.18,fundamental
2027-01-08 06:00:00,6,9.61,74.38,140.53,fundamental
2027-01-08 07:00:00,7,24.96,103.39,181.68,fundamental
2027-01-08 08:00:00,8,23.93,111.48,202.13,fundamental
2027-01-08 09:00:00,9,16.14,99.48,183.95,fundamental
2027-01-08 10:00:00,10,6.00,66.76,136.12,fundamental
2027-01-08 11:00:00,11,0.00,45.49,87.38,fundamental
2027-01-08 12:00:00,12,-0.01,30.38,75.58,fundamental
2027-01-08 13:00:00,13,-0.01,22.99,80.20,fundamental
2027-01-08 14:00:00,14,-0.01,25.49,77.48,fundamental
2027-01-08 15:00:00,15,-0.01,35.48,92.84,fundamental
2027-01-08 16:00:00,16,0.00,58.66,128.43,fundamental
2027-01-08 17:00:00,17,6.13,73.36,158.69,fundamental
2027-01-08 18:00:00,18,18.80,82.79,173.66,fundamental
2027-01-08 19:00:00,19,11.85,75.77,183.06,fundamental
2027-01-08 20:00:00,20,13.19,85.23,178.19,fundamental
2027-01-08 21:00:00,21,7.28,70.71,158.16,fundamental
2027-01-08 22:00:00,22,5.62,53.41,123.20,fundamental
2027-01-08 23:00:00,23,0.00,33.04,114.43,fundamental
2027-01-09 00:00:00,0,0.00,22.34,136.00,fundamental
2027-01-09 01:00:00,1,-0.51,11.44,129.43,fundamental
2027-01-09 02:00:00,2,-0.05,10.29,123.55,fundamental
2027-01-09 03:00:00,3,-0.12,9.31,121.65,fundamental
2027-01-09 04:00:00,4,-0.02,10.68,122.41,fundamental
2027-01-09 05:00:00,5,-0.42,7.76,120.50,fundamental
2027-01-09 06:00:00,6,-0.01,11.32,128.06,fundamental
2027-01-09 07:00:00,7,-0.02,11.80,133.10,fundamental
2027-01-09 08:00:00,8,-0.01,18.42,137.06,fundamental
2027-01-09 09:00:00,9,-0.01,24.54,132.26,fundamental
2027-01-09 10:00:00,10,-0.05,20.91,121.82,fundamental
2027-01-09 11:00:00,11,-0.04,4.36,91.58,fundamental
2027-01-09 12:00:00,12,-1.34,2.84,68.79,fundamental
2027-01-09 13:00:00,13,-0.37,4.31,73.16,fundamental
2027-01-09 14:00:00,14,-0.55,8.69,83.40,fundamental
2027-01-09 15:00:00,15,-0.03,16.54,98.07,fundamental
2027-01-09 16:00:00,16,0.00,45.94,167.66,fundamental
2027-01-09 17:00:00,17,0.47,66.45,202.42,fundamental
2027-01-09 18:00:00,18,11.46,89.86,229.89,fundamental
2027-01-09 19:00:00,19,19.63,93.64,247.87,fundamental
2027-01-09 20:00:00,20,19.98,98.00,224.35,fundamental
2027-01-09 21:00:00,21,15.12,96.45,216.68,fundamental
2027-01-09 22:00:00,22,18.99,85.04,202.89,fundamental
2027-01-09 23:00:00,23,13.34,75.28,170.89,fundamental
2027-01-10 00:00:00,0,12.76,79.70,171.36,fundamental
2027-01-10 01:00:00,1,8.91,68.12,146.52,fundamental
2027-01-10 02:00:00,2,4.15,58.91,133.10,fundamental
2027-01-10 03:00:00,3,7.08,53.30,123.69,fundamental
2027-01-10 04:00:00,4,4.75,48.42,119.34,fundamental
2027-01-10 05:00:00,5,0.00,45.18,131.58,fundamental
2027-01-10 06:00:00,6,0.00,54.56,126.26,fundamental
2027-01-10 07:00:00,7,9.17,58.05,138.49,fundamental
2027-01-10 08:00:00,8,8.91,61.49,148.00,fundamental
2027-01-10 09:00:00,9,5.34,61.32,137.29,fundamental
2027-01-10 10:00:00,10,1.56,50.43,110.62,fundamental
2027-01-10 11:00:00,11,0.00,31.18,85.66,fundamental
2027-01-10 12:00:00,12,-0.01,17.93,69.00,fundamental
2027-01-10 13:00:00,13,-0.01,20.74,77.15,fundamental
2027-01-10 14:00:00,14,0.00,31.09,74.45,fundamental
2027-01-10 15:00:00,15,4.33,43.47,95.61,fundamental
2027-01-10 16:00:00,16,20.66,65.26,136.05,fundamental
2027-01-10 17:00:00,17,32.26,93.52,176.20,fundamental
2027-01-10 18:00:00,18,33.22,121.74,201.55,fundamental
2027-01-10 19:00:00,19,35.76,131.79,215.91,fundamental
2027-01-10 20:00:00,20,36.34,136.10,231.85,fundamental
2027-01-10 21:00:00,21,40.99,133.40,226.88,fundamental
2027-01-10 22:00:00,22,33.93,124.51,210.42,fundamental
2027-01-10 23:00:00,23,28.48,106.25,195.58,fundamental
2027-01-11 00:00:00,0,33.42,101.34,204.25,fundamental
2027-01-11 01:00:00,1,33.45,90.75,190.19,fundamental
2027-01-11 02:00:00,2,29.50,82.79,158.72,fundamental
2027-01-11 03:00:00,3,32.52,81.53,144.70,fundamental
2027-01-11 04:00:00,4,16.29,82.22,145.21,fundamental
2027-01-11 05:00:00,5,18.66,85.71,165.88,fundamental
2027-01-11 06:00:00,6,21.03,107.17,240.73,fundamental
2027-01-11 07:00:00,7,27.75,129.65,245.82,fundamental
2027-01-11 08:00:00,8,47.17,141.97,259.29,fundamental
2027-01-11 09:00:00,9,53.96,134.74,274.34,fundamental
2027-01-11 10:00:00,10,48.86,112.92,212.65,fundamental
2027-01-11 11:00:00,11,32.97,86.82,156.96,fundamental
2027-01-11 12:00:00,12,14.23,65.83,112.05,fundamental
2027-01-11 13:00:00,13,18.18,59.19,109.36,fundamental
2027-01-11 14:00:00,14,18.08,62.42,115.20,fundamental
2027-01-11 15:00:00,15,24.59,75.87,145.18,fundamental
2027-01-11 16:00:00,16,23.48,107.66,195.44,fundamental
2027-01-11 17:00:00,17,23.93,134.47,226.50,fundamental
2027-01-11 18:00:00,18,26.50,153.79,264.82,fundamental
2027-01-11 19:00:00,19,29.80,158.68,267.94,fundamental
2027-01-11 20:00:00,20,32.18,159.98,274.11,fundamental
2027-01-11 21:00:00,21,35.23,155.49,264.40,fundamental
2027-01-11 22:00:00,22,37.47,139.57,259.16,fundamental
2027-01-11 23:00:00,23,36.59,125.21,227.29,fundamental
2027-01-12 00:00:00,0,31.95,110.59,219.96,fundamental
2027-01-12 01:00:00,1,31.70,101.49,205.43,fundamental
2027-01-12 02:00:00,2,26.32,91.38,163.22,fundamental
2027-01-12 03:00:00,3,25.46,84.88,152.71,fundamental
2027-01-12 04:00:00,4,25.55,81.53,150.58,fundamental
2027-01-12 05:00:00,5,28.90,88.01,163.20,fundamental
2027-01-12 06:00:00,6,31.33,112.98,223.30,fundamental
2027-01-12 07:00:00,7,40.42,134.93,244.69,fundamental
2027-01-12 08:00:00,8,40.40,141.14,249.00,fundamental
2027-01-12 09:00:00,9,32.54,129.55,228.98,fundamental
2027-01-12 10:00:00,10,13.83,98.78,178.48,fundamental
2027-01-12 11:00:00,11,13.15,71.38,146.59,fundamental
2027-01-12 12:00:00,12,7.97,54.59,93.00,fundamental
2027-01-12 13:00:00,13,5.83,48.92,86.93,fundamental
2027-01-12 14:00:00,14,6.13,53.52,90.83,fundamental
2027-01-12 15:00:00,15,19.83,66.09,118.56,fundamental
2027-01-12 16:00:00,16,27.93,99.29,158.19,fundamental
2027-01-12 17:00:00,17,35.13,127.14,224.02,fundamental
2027-01-12 18:00:00,18,38.23,144.17,251.24,fundamental
2027-01-12 19:00:00,19,35.99,148.17,270.77,fundamental
2027-01-12 20:00:00,20,33.50,148.90,263.02,fundamental
2027-01-12 21:00:00,21,23.06,142.74,246.20,fundamental
2027-01-12 22:00:00,22,30.59,128.30,226.17,fundamental
2027-01-12 23:00:00,23,16.17,108.68,201.90,fundamental
2027-01-13 00:00:00,0,15.42,96.52,178.83,fundamental
2027-01-13 01:00:00,1,12.73,84.78,159.47,fundamental
2027-01-13 02:00:00,2,19.68,76.00,152.85,fundamental
2027-01-13 03:00:00,3,21.33,75.38,147.08,fundamental
2027-01-13 04:00:00,4,16.87,73.03,150.74,fundamental
2027-01-13 05:00:00,5,21.50,75.64,148.08,fundamental
2027-01-13 06:00:00,6,30.22,96.62,195.87,fundamental
2027-01-13 07:00:00,7,25.08,124.02,218.59,fundamental
2027-01-13 08:00:00,8,20.10,135.91,227.26,fundamental
2027-01-13 09:00:00,9,38.11,124.84,222.44,fundamental
2027-01-13 10:00:00,10,38.08,99.60,187.45,fundamental
2027-01-13 11:00:00,11,19.50,71.13,139.84,fundamental
2027-01-13 12:00:00,12,9.45,57.31,107.94,fundamental
2027-01-13 13:00:00,13,6.48,53.11,93.28,fundamental
2027-01-13 14:00:00,14,7.98,58.52,106.20,fundamental
2027-01-13 15:00:00,15,19.99,76.65,144.04,fundamental
2027-01-13 16:00:00,16,32.14,111.24,197.92,fundamental
2027-01-13 17:00:00,17,40.39,137.74,242.34,fundamental
2027-01-13 18:00:00,18,42.42,150.61,265.09,fundamental
2027-01-13 19:00:00,19,28.48,154.57,257.90,fundamental
2027-01-13 20:00:00,20,41.74,156.52,257.01,fundamental
2027-01-13 21:00:00,21,22.69,154.59,264.07,fundamental
2027-01-13 22:00:00,22,14.83,144.06,240.05,fundamental
2027-01-13 23:00:00,23,17.45,129.02,227.09,fundamental
2027-01-14 00:00:00,0,18.05,115.93,207.58,fundamental
2027-01-14 01:00:00,1,19.40,104.93,188.81,fundamental
2027-01-14 02:00:00,2,26.36,94.10,189.57,fundamental
2027-01-14 03:00:00,3,21.57,91.63,182.30,fundamental
2027-01-14 04:00:00,4,15.41,89.79,191.47,fundamental
2027-01-14 05:00:00,5,12.61,86.76,182.56,fundamental
2027-01-14 06:00:00,6,18.18,105.17,216.92,fundamental
2027-01-14 07:00:00,7,18.73,133.44,254.68,fundamental
2027-01-14 08:00:00,8,38.02,141.54,252.33,fundamental
2027-01-14 09:00:00,9,37.76,131.51,228.07,fundamental
2027-01-14 10:00:00,10,33.49,110.93,188.42,fundamental
2027-01-14 11:00:00,11,24.03,75.52,136.70,fundamental
2027-01-14 12:00:00,12,7.84,61.06,106.48,fundamental
2027-01-14 13:00:00,13,10.68,53.03,100.71,fundamental
2027-01-14 14:00:00,14,12.49,62.16,105.24,fundamental
2027-01-14 15:00:00,15,15.23,78.44,128.09,fundamental
2027-01-14 16:00:00,16,26.57,103.27,178.83,fundamental
2027-01-14 17:00:00,17,42.74,128.12,226.70,fundamental
2027-01-14 18:00:00,18,40.13,148.11,243.61,fundamental
2027-01-14 19:00:00,19,51.32,148.44,262.39,fundamental
2027-01-14 20:00:00,20,31.48,152.21,272.29,fundamental
2027-01-14 21:00:00,21,28.76,146.44,278.86,fundamental
2027-01-14 22:00:00,22,26.96,132.66,250.25,fundamental
2027-01-14 23:00:00,23,22.53,118.48,208.13,fundamental
2027-01-15 00:00:00,0,20.91,105.67,183.86,fundamental
2027-01-15 01:00:00,1,21.65,96.99,173.29,fundamental
2027-01-15 02:00:00,2,20.33,88.82,168.89,fundamental
2027-01-15 03:00:00,3,18.31,82.63,170.91,fundamental
2027-01-15 04:00:00,4,16.56,80.52,163.49,fundamental
2027-01-15 05:00:00,5,16.57,81.97,171.54,fundamental
2027-01-15 06:00:00,6,31.15,102.23,195.35,fundamental
2027-01-15 07:00:00,7,32.81,128.16,228.02,fundamental
2027-01-15 08:00:00,8,25.27,134.64,236.28,fundamental
2027-01-15 09:00:00,9,19.16,130.29,217.38,fundamental
2027-01-15 10:00:00,10,12.46,101.70,166.58,fundamental
2027-01-15 11:00:00,11,9.09,70.46,123.90,fundamental
2027-01-15 12:00:00,12,6.35,52.82,94.23,fundamental
2027-01-15 13:00:00,13,5.58,49.22,96.51,fundamental
2027-01-15 14:00:00,14,5.99,54.58,96.55,fundamental
2027-01-15 15:00:00,15,8.69,62.90,111.55,fundamental
2027-01-15 16:00:00,16,17.41,90.02,167.31,fundamental
2027-01-15 17:00:00,17,26.48,115.05,200.28,fundamental
2027-01-15 18:00:00,18,31.86,134.97,224.95,fundamental
2027-01-15 19:00:00,19,41.14,143.87,259.30,fundamental
2027-01-15 20:00:00,20,29.06,145.65,264.57,fundamental
2027-01-15 21:00:00,21,24.31,139.20,233.12,fundamental
2027-01-15 22:00:00,22,22.54,122.06,206.93,fundamental
2027-01-15 23:00:00,23,14.88,112.29,201.72,fundamental
2027-01-16 00:00:00,0,13.73,88.69,189.14,fundamental
2027-01-16 01:00:00,1,9.21,77.29,164.76,fundamental
2027-01-16 02:00:00,2,6.19,68.39,146.40,fundamental
2027-01-16 03:00:00,3,5.94,58.20,153.69,fundamental
2027-01-16 04:00:00,4,5.89,57.28,143.76,fundamental
2027-01-16 05:00:00,5,0.00,58.17,127.40,fundamental
2027-01-16 06:00:00,6,2.34,68.42,136.37,fundamental
2027-01-16 07:00:00,7,0.90,76.05,153.42,fundamental
2027-01-16 08:00:00,8,0.00,79.75,149.48,fundamental
2027-01-16 09:00:00,9,0.19,74.25,146.71,fundamental
2027-01-16 10:00:00,10,0.00,54.05,112.71,fundamental
2027-01-16 11:00:00,11,-0.02,38.59,83.45,fundamental
2027-01-16 12:00:00,12,-0.01,24.77,63.01,fundamental
2027-01-16 13:00:00,13,-0.39,20.54,56.65,fundamental
2027-01-16 14:00:00,14,-0.01,28.95,63.42,fundamental
2027-01-16 15:00:00,15,-0.05,36.43,80.01,fundamental
2027-01-16 16:00:00,16,0.00,55.35,92.90,fundamental
2027-01-16 17:00:00,17,0.77,77.03,142.38,fundamental
2027-01-16 18:00:00,18,5.18,97.62,199.48,fundamental
2027-01-16 19:00:00,19,1.82,99.68,186.84,fundamental
2027-01-16 20:00:00,20,6.25,93.34,196.02,fundamental
2027-01-16 21:00:00,21,1.95,92.28,186.23,fundamental
2027-01-16 22:00:00,22,0.00,83.41,177.69,fundamental
2027-01-16 23:00:00,23,0.00,81.67,160.67,fundamental
2027-01-17 00:00:00,0,-0.01,58.20,166.54,fundamental
2027-01-17 01:00:00,1,-0.01,52.26,159.06,fundamental
2027-01-17 02:00:00,2,-0.01,41.61,152.29,fundamental
2027-01-17 03:00:00,3,-0.03,38.67,131.08,fundamental
2027-01-17 04:00:00,4,-0.01,40.29,126.12,fundamental
2027-01-17 05:00:00,5,-0.02,39.89,124.07,fundamental
2027-01-17 06:00:00,6,-0.01,38.58,125.30,fundamental
2027-01-17 07:00:00,7,-0.01,47.94,135.72,fundamental
2027-01-17 08:00:00,8,-0.01,42.77,135.04,fundamental
2027-01-17 09:00:00,9,-0.11,37.72,125.45,fundamental
2027-01-17 10:00:00,10,-0.01,33.99,105.99,fundamental
2027-01-17 11:00:00,11,-0.55,20.82,77.22,fundamental
2027-01-17 12:00:00,12,-0.50,2.71,66.52,fundamental
2027-01-17 13:00:00,13,-0.67,3.57,65.69,fundamental
2027-01-17 14:00:00,14,-0.76,8.36,73.08,fundamental
2027-01-17 15:00:00,15,-0.52,15.33,85.47,fundamental
2027-01-17 16:00:00,16,-0.41,24.09,110.56,fundamental
2027-01-17 17:00:00,17,-0.00,36.92,159.02,fundamental
2027-01-17 18:00:00,18,0.00,44.60,202.03,fundamental
2027-01-17 19:00:00,19,0.00,56.58,198.37,fundamental
2027-01-17 20:00:00,20,-0.05,58.26,209.52,fundamental
2027-01-17 21:00:00,21,0.00,64.34,204.14,fundamental
2027-01-17 22:00:00,22,0.00,62.17,188.23,fundamental
2027-01-17 23:00:00,23,0.00,50.92,170.54,fundamental
2027-01-18 00:00:00,0,0.00,63.97,182.51,fundamental
2027-01-18 01:00:00,1,-0.01,54.88,169.88,fundamental
2027-01-18 02:00:00,2,0.00,48.19,165.73,fundamental
2027-01-18 03:00:00,3,-0.01,45.89,164.11,fundamental
2027-01-18 04:00:00,4,-0.01,41.18,162.22,fundamental
2027-01-18 05:00:00,5,0.00,52.80,159.52,fundamental
2027-01-18 06:00:00,6,0.00,69.81,177.53,fundamental
2027-01-18 07:00:00,7,0.00,74.97,209.76,fundamental
2027-01-18 08:00:00,8,3.12,73.20,210.87,fundamental
2027-01-18 09:00:00,9,9.34,74.28,203.97,fundamental
2027-01-18 10:00:00,10,3.08,59.19,174.11,fundamental
2027-01-18 11:00:00,11,0.00,48.45,130.31,fundamental
2027-01-18 12:00:00,12,-0.01,33.25,91.03,fundamental
2027-01-18 13:00:00,13,-0.01,20.60,86.63,fundamental
2027-01-18 14:00:00,14,-0.01,27.45,94.83,fundamental
2027-01-18 15:00:00,15,0.00,54.60,120.28,fundamental
2027-01-18 16:00:00,16,3.44,80.61,168.70,fundamental
2027-01-18 17:00:00,17,14.43,123.37,206.14,fundamental
2027-01-18 18:00:00,18,16.69,136.21,259.72,fundamental
2027-01-18 19:00:00,19,19.09,140.53,248.34,fundamental
2027-01-18 20:00:00,20,34.98,141.65,258.96,fundamental
2027-01-18 21:00:00,21,33.57,141.43,255.64,fundamental
2027-01-18 22:00:00,22,31.42,131.39,228.43,fundamental
2027-01-18 23:00:00,23,30.36,121.03,207.13,fundamental
2027-01-19 00:00:00,0,16.10,106.60,205.42,fundamental
2027-01-19 01:00:00,1,12.51,98.26,204.96,fundamental
