variable,nulos_antes,cero_convencion,cero_no_existia,ffill,interpolado,analogo_7d,sin_reconstruir,cero_hora_inexistente
ssrd_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tcc_mean_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tp_acum_30d_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
tp_acum_7d_met_Dm2,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pbf_completo_D,7,0.0,0.0,0.0,0.0,0.0,0,7.0
bil_total_sales_mw_D,7,7.0,0.0,0.0,0.0,0.0,0,0.0
pdbc_pumping_cons_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_unavailable_power_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pdbc_pumping_gen_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
pbfli_total_net_flow_mw_D,7,0.0,0.0,0.0,7.0,0.0,0,0.0
bil_total_purchases_mw_D,7,7.0,0.0,0.0,0.0,0.0,0,0.0
pbf_publicado_D,7,0.0,0.0,0.0,0.0,0.0,0,7.0
ssrd_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
t2m_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
d2m_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
wind10_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
msl_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
wind100_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
tcc_meteo,4,0.0,0.0,0.0,4.0,0.0,0,0.0
ree_demanda_prev,1,0.0,0.0,0.0,1.0,0.0,0,0.0
