fecha,hydro_mw,pump_mw,nuclear_mw,ccgt_mw,fuel_mw,gas_turbine_mw,coal_mw
2020-06-13,12770.5,3003.2,4847.2,20030.0,7.9,,7090.650000000001
2020-06-14,12594.91666666667,2580.6,4852.2,19245.69166666667,7.9,,7512.0
2020-06-15,12552.72083333333,2410.475,4916.70416666667,21236.1,7.9,,7512.0
2020-06-16,12735.37916666667,2475.38333333333,5102.5,20694.825,7.9,,7512.0
2020-06-17,12846.875,2479.1,5102.5,20496.50416666667,7.9,,7512.0
2020-06-18,12941.16666666667,2479.1,5102.5,20120.3375,7.9,,7512.0
2020-06-19,13069.9,2479.1,6105.9,20290.61666666667,7.9,,7512.0
2020-06-20,13069.9,2479.1,6467.44166666667,20894.06666666667,7.9,,7482.75833333333
2020-06-21,12860.28333333333,2531.30833333333,5971.95,20978.05416666667,7.9,,8223.2
2020-06-22,12816.50833333333,2568.6,5114.2,21502.5,7.9,,8120.85416666667
2020-06-23,12860.2,2568.6,5114.2,20555.5,7.9,,8223.2
2020-06-24,12919.07916666667,2568.6,5114.2,20393.825,7.9,,8223.2
2020-06-25,12845.1625,2568.6,5324.8875,20404.02916666667,7.9,,8223.2
2020-06-26,12736.4,2568.6,5928.18333333333,20551.59583333333,7.9,,7673.200000000001
2020-06-27,12736.4,2568.6,6111.4,20734.47916666667,7.9,,7646.76666666667
2020-06-28,12408.62083333333,2452.56666666667,7117.2,21311.08333333333,7.9,,7673.200000000001
2020-06-29,12488.35833333333,2446.54583333333,7117.2,21727.65,7.9,,7673.200000000001
2020-06-30,12602.24583333333,2443.66666666667,7117.2,21888.4875,7.9,,4071.8
2020-07-01,12554.64166666667,2384.8375,7117.2,21635.58333333333,7.9,,3430.4
2020-07-02,12698.61666666667,2435.45,7117.2,21627.8,7.9,,3430.4
2020-07-03,12956.7,2471.9,7117.2,22035.9,7.9,,3980.4
2020-07-04,12956.7,2471.9,7117.2,21732.6625,7.9,,3980.4
2020-07-05,12707.25416666667,2471.9,7117.2,21725.55833333334,7.9,,3980.4
2020-07-06,12571.0,2471.9,7030.2875,21206.09166666667,7.9,,3980.4
2020-07-07,12614.9625,2471.9,7051.3875,21558.05,7.9,,3980.4
2020-07-08,12596.53333333333,2471.9,7117.2,22018.80416666667,7.9,,3980.4
2020-07-09,12638.9375,2647.94166666667,7117.2,21625.6,7.9,,3980.4
2020-07-10,12723.00416666667,2894.4,6893.12083333333,21544.19583333334,7.9,,3980.4
2020-07-11,12740.5,2836.29166666667,7117.2,21231.6,7.9,,3980.4
2020-07-12,12655.65833333333,2821.0,7117.2,20849.825,7.9,,3980.4
2020-07-13,12596.54166666667,2778.21439393939,7117.2,20582.3125,7.9,,3980.4
2020-07-14,12645.71666666667,2794.15,7117.2,21214.17083333333,7.9,,3980.4
2020-07-15,12752.9,2794.15,7117.2,21150.825,7.9,,3980.4
2020-07-16,12774.49583333333,2771.65,7117.2,21641.1625,7.9,,3980.4
2020-07-17,12805.9,2780.35,7117.2,22035.9,7.9,,4322.1
2020-07-18,12805.9,2821.6,7117.2,21772.7625,7.9,,4322.1
2020-07-19,12299.15833333333,2821.6,7117.2,21318.1125,7.9,,4322.1
2020-07-20,12067.71666666667,2698.38333333333,7117.2,21831.00416666667,7.9,,4322.1
2020-07-21,12075.925,2747.20416666667,7117.2,20595.12083333334,7.9,,4322.1
2020-07-22,12089.75833333333,2801.6,7117.2,21046.85,7.9,,4322.1
2020-07-23,12169.82083333333,2798.725,7117.2,21014.22916666667,7.9,,4322.1
2020-07-24,12302.6,2821.6,7117.2,20855.3,7.9,,4322.1
2020-07-25,12302.6,2802.70416666667,7117.2,20497.38333333334,7.9,,4322.1
2020-07-26,12119.15833333333,2641.68333333333,7117.2,20820.90833333333,7.9,,4322.1
2020-07-27,11880.9375,2619.525,7117.2,20855.3,7.9,,4322.1
2020-07-28,11746.49166666667,2642.4,7117.2,20822.575,7.9,,4322.1
2020-07-29,11655.9375,2642.4,7117.2,20697.19166666667,7.9,,4322.1
2020-07-30,11898.05,2755.85555555556,7117.2,20193.31666666667,7.9,,4322.1
2020-07-31,12136.4,2918.3,7117.2,20458.9,7.9,,4322.1
2020-08-01,12021.15,2918.3,7117.2,20922.52083333333,7.9,,4322.1
2020-08-02,11698.65416666667,2918.3,7117.2,21065.13333333334,7.9,,4322.1
2020-08-03,11301.50416666667,2901.075,7117.2,21452.54583333333,7.9,,4237.65555555556
2020-08-04,11335.525,2918.3,7117.2,21182.0,7.9,,3757.4791666666697
2020-08-05,11441.52916666667,2884.2875,7117.2,21355.75416666667,7.9,,3742.85833333333
2020-08-06,11488.99583333333,2918.3,7117.2,22043.2,7.9,,3772.1000000000004
2020-08-07,11550.45416666667,2918.3,7117.2,22043.2,7.9,,3772.1000000000004
2020-08-08,11461.33333333334,2918.3,7117.2,22043.2,7.9,,3772.1000000000004
2020-08-09,11397.29166666667,2918.3,7117.2,21483.95,7.9,,3772.1000000000004
2020-08-10,11470.21666666667,2960.76666666667,7117.2,21236.2,7.9,,3772.1000000000004
2020-08-11,11555.3,2991.1,7117.2,21315.99166666667,7.9,,3772.1000000000004
2020-08-12,11555.3,2991.1,7117.2,21351.45,7.9,,4322.1
2020-08-13,11566.725,2991.1,7117.2,20596.8,7.9,,4322.1
2020-08-14,11601.0,2991.1,7117.2,20669.1875,7.9,,4322.1
2020-08-15,11630.8875,2991.1,7117.2,20439.6,7.9,,4322.1
2020-08-16,11523.40416666667,2956.65,7117.2,19921.64166666667,7.9,,4322.1
2020-08-17,11437.4,2982.0,7117.2,20029.1,7.9,,4322.1
2020-08-18,11409.56666666667,2918.3,7117.2,20029.1,7.9,,4322.1
2020-08-19,11412.50833333333,2918.3,7117.2,20029.1,7.9,,4322.1
2020-08-20,11460.25416666667,2918.3,6941.1875,20029.1,7.9,,4322.1
2020-08-21,11550.5,2918.3,6883.10833333333,19975.5875,7.9,,4322.1
2020-08-22,11550.5,2918.3,7117.2,20028.36666666667,7.9,,4322.1
2020-08-23,11462.3375,2636.63333333333,7117.2,20302.3,7.9,,4322.1
2020-08-24,11393.7875,2480.50833333333,7117.2,20285.1375,7.9,,4322.1
2020-08-25,11428.7625,2480.50833333333,7117.2,19888.5625,7.9,,4322.1
2020-08-26,11512.02916666667,2495.8,7104.98333333333,19312.27083333333,7.9,,4163.425
2020-08-27,11882.4,2495.8,7117.2,19082.94583333334,7.9,,3975.9
2020-08-28,12277.9,2495.8,7117.2,19207.2,7.9,,4322.1
2020-08-29,12259.325,2495.8,7117.2,19412.325,7.9,,4322.1
2020-08-30,11050.425,2595.83333333333,7117.2,19759.83333333333,7.9,,4322.1
2020-08-31,10576.6,2547.3,6725.60416666667,19165.17916666667,7.9,,3772.1000000000004
2020-09-01,10596.75833333333,2530.2446969697,5973.9,19475.46666666667,7.9,,3772.1000000000004
2020-09-02,10776.8875,2565.6,6865.02916666667,19574.775,7.9,,3772.1000000000004
2020-09-03,10865.88333333333,2565.6,7000.25,19433.50833333334,7.9,,3772.1000000000004
2020-09-04,10872.7,2251.9,6045.70833333333,19000.6,7.9,,3772.1000000000004
2020-09-05,10872.7,2152.525,6121.4,19201.5,7.9,,3772.1000000000004
2020-09-06,10538.99166666667,2019.10416666667,6121.4,19040.41666666667,7.9,,3772.1000000000004
2020-09-07,10350.90833333333,1961.6,6955.175,19021.80416666667,7.9,,3772.1000000000004
2020-09-08,10372.80833333333,1961.6,7117.2,18219.4375,7.9,,3772.1000000000004
2020-09-09,10405.7625,1991.76666666667,7117.2,18074.1,7.9,,3725.28333333333
